Event_ID,Article_ID,Actor_Normalized,Actor_Type,Victim_Normalized,Victim_Type,Location_Country,Location_City,Location_Coordinates,Date_Normalized,Taxonomy_L1,Taxonomy_L2,Taxonomy_L3,Weapon_Category,Deaths,Injuries,Severity,Event_Description,Actor_Confidence,Victim_Confidence,Location_Confidence,Date_Confidence,Classification_Confidence,Flagged_for_Review,Notes,Annotator_Name,PERPETRATOR,VICTIM,TARGET,ORGANIZATION,GOVERNMENT,EVENT_TYPE,ACTION,WEAPON,VIOLENCE_TYPE,DATE,TIME,DURATION,FREQUENCY,COUNTRY,REGION,CITY,DISTRICT,FACILITY,GEOGRAPHIC,COORDINATES,CASUALTIES,INJURED,DISPLACEMENT,DAMAGE,MOTIVE,TRIGGER
CLEAN_c6863404,CLEAN_c6863404,armed militias,Armed Group,90 displaced persons,,Libya,Derna,"coordinates 8.9N, 38.7E",September 22,Violence,robbery,,small arms,,,High,"After disputed election results, armed militias armed with small arms launched a robbery on farming communities near secondary school in Derna area, Derna, Cyrenaica, Libya on September 22 evening. The three-hour assault resulted in killing 192 people and wounding 140 others, while also displacing over 16414 residents. Witnesses reported that fighters beheaded displaced persons in revenge for killings last week. Libyan military arrived later but found torching hundreds of homes. The attack near the area at coordinates 8.9N, 38.7E marks part of repeated attacks in the area. World Food Programme has condemned the ethnic violence.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,armed militias,90 displaced persons,farming communities,World Food Programme,Libyan military,robbery,beheaded,small arms,ethnic violence,September 22,evening,three-hour assault,repeated attacks,Libya,Cyrenaica,Derna,Derna area,secondary school,the area,"coordinates 8.9N, 38.7E",killing 192 people,wounding 140 others,displacing over 16414 residents,torching hundreds of homes,in revenge for killings last week,after disputed election results
CLEAN_b6bdbb2c,CLEAN_b6bdbb2c,ADF rebels,Armed Group,35 fishermen,,Uganda,Gulu,"position 9.1N, 7.5E",July 3,Violence,IED attack,,machetes,,,High,"Following the collapse of peace talks, ADF rebels armed with machetes launched an IED attack on checkpoints near police station in Gulu area, Gulu, Northern Region, Uganda on July 3 in the early hours. The several hours of fighting resulted in killing 137 people and wounding 109 others, while also displacing over 37896 residents. Witnesses reported that fighters bombed fishermen in revenge for killings last week. UPDF forces arrived later but found burning down the village market. The attack near the area at position 9.1N, 7.5E marks part of ongoing violence in the area. CARE International has condemned the terrorist attack.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,ADF rebels,35 fishermen,checkpoints,CARE International,UPDF forces,IED attack,bombed,machetes,terrorist attack,July 3,in the early hours,several hours of fighting,ongoing violence,Uganda,Northern Region,Gulu,Gulu area,police station,the area,"position 9.1N, 7.5E",killing 137 people,wounding 109 others,displacing over 37896 residents,burning down the village market,in revenge for killings last week,following the collapse of peace talks
CLEAN_98afced2,CLEAN_98afced2,ISGS militants,Armed Group,104 farmers,,Niger,Niamey,"coordinates 4.8S, 29.2E",December 5,Violence,massacre,,RPG launchers,,,High,"In a devastating massacre, ISGS militants armed with RPG launchers attacked mosques in Niamey, Banibangou Department, Tahoua Region on December 5 during the late night, killing 49 people, wounding 143 others, and displacing over 8014 residents. The revenge attack lasted for week-long offensive as fighters surrounded 104 farmers, over land disputes. Nigerien forces confirmed the incident near the desert zone, Niger, at coordinates 4.8S, 29.2E. UNICEF staff at a nearby police station reported setting ablaze storage facilities. This is part of continuous assaults since a cattle rustling incident.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,ISGS militants,104 farmers,mosques,UNICEF,Nigerien forces,massacre,surrounded,RPG launchers,revenge attack,December 5,late night,week-long offensive,continuous assaults,Niger,Tahoua Region,Niamey,Banibangou Department,police station,the desert zone,"coordinates 4.8S, 29.2E",killing 49 people,wounding 143 others,displacing over 8014 residents,setting ablaze storage facilities,over land disputes,following a cattle rustling incident
CLEAN_5a11434c,CLEAN_5a11434c,Islamic State West Africa Province,Armed Group,102 displaced persons,,Nigeria,Maiduguri,"coordinates 8.9N, 38.7E",Wednesday,Violence,shelling,,machetes,,,High,"After a land boundary dispute, Islamic State West Africa Province armed with machetes launched a shelling on military bases near clinic in Mubi LGA, Maiduguri, Borno State, Nigeria on Wednesday overnight. The prolonged engagement resulted in killing 161 people and wounding 120 others, while also displacing over 29028 residents. Witnesses reported that fighters looted displaced persons as part of ethnic cleansing. Nigerian security forces arrived later but found setting ablaze storage facilities. The attack near the Mandara Mountains at coordinates 8.9N, 38.7E marks part of persistent attacks in the area. World Food Programme has condemned the ethnic violence.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,Islamic State West Africa Province,102 displaced persons,military bases,World Food Programme,Nigerian security forces,shelling,looted,machetes,ethnic violence,Wednesday,overnight,prolonged engagement,persistent attacks,Nigeria,Borno State,Maiduguri,Mubi LGA,clinic,the Mandara Mountains,"coordinates 8.9N, 38.7E",killing 161 people,wounding 120 others,displacing over 29028 residents,setting ablaze storage facilities,as part of ethnic cleansing,after a land boundary dispute
CLEAN_1eb8d5c8,CLEAN_1eb8d5c8,Rapid Support Forces,Armed Group,24 travelers,,Sudan,Kassala,"coordinates 8.9N, 38.7E",Monday morning,Violence,abduction,,assault rifles,,,High,"In a devastating abduction, Rapid Support Forces armed with assault rifles attacked schools in Kassala, Kutum locality, South Darfur on Monday morning during the early morning, killing 65 people, wounding 142 others, and displacing over 28020 residents. The insurgent attack lasted for several hours of fighting as fighters raided 24 travelers, over grazing rights. Sudanese military confirmed the incident near the border area, Sudan, at coordinates 8.9N, 38.7E. UNICEF staff at a nearby IDP camp reported destroying over 50 homes. This is part of ongoing violence since a military offensive.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,Rapid Support Forces,24 travelers,schools,UNICEF,Sudanese military,abduction,raided,assault rifles,insurgent attack,Monday morning,early morning,several hours of fighting,ongoing violence,Sudan,South Darfur,Kassala,Kutum locality,IDP camp,the border area,"coordinates 8.9N, 38.7E",killing 65 people,wounding 142 others,displacing over 28020 residents,destroying over 50 homes,over grazing rights,following a military offensive
CLEAN_2d3d695f,CLEAN_2d3d695f,LNA fighters,Armed Group,78 teachers,,Libya,Sirte,"location 15.6N, 32.5E",last Monday,Violence,armed assault,,assault rifles,,,High,"Survivors described an armed assault by LNA fighters in Sirte area, Sirte, Tripolitania, Libya on last Monday mid-morning, where armed fighters with assault rifles set fire to hospitals near a primary school, killing 37 people including teachers, and wounding 128 others. The brief but deadly skirmish of revenge attack for control of territory led to displacing over 19292 residents from villages near the area at location 15.6N, 32.5E. Libyan military found destroying infrastructure. Islamic Relief says this continues escalating raids following a cattle rustling incident.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,LNA fighters,78 teachers,hospitals,Islamic Relief,Libyan military,armed assault,set fire to,assault rifles,revenge attack,last Monday,mid-morning,brief but deadly skirmish,escalating raids,Libya,Tripolitania,Sirte,Sirte area,primary school,the area,"location 15.6N, 32.5E",killing 37 people,wounding 128 others,displacing over 19292 residents,destroying infrastructure,for control of territory,following a cattle rustling incident
CLEAN_5d98ff08,CLEAN_5d98ff08,Ansar Dine militants,Armed Group,22 herders,,Mali,Segou,"location 15.6N, 32.5E",Thursday,Violence,ambush,,machetes,,,High,"After months of rising tensions, Ansar Dine militants armed with machetes launched an ambush on military bases near warehouse in Menaka cercle, Segou, Kidal Region, Mali on Thursday around midnight. The prolonged engagement resulted in killing 85 people and wounding 35 others, while also displacing over 47450 residents. Witnesses reported that fighters abducted herders to extort money from residents. Malian military arrived later but found torching hundreds of homes. The attack near the Niger River at location 15.6N, 32.5E marks part of escalating raids in the area. Mercy Corps has condemned the ethnic violence.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,Ansar Dine militants,22 herders,military bases,Mercy Corps,Malian military,ambush,abducted,machetes,ethnic violence,Thursday,around midnight,prolonged engagement,escalating raids,Mali,Kidal Region,Segou,Menaka cercle,warehouse,the Niger River,"location 15.6N, 32.5E",killing 85 people,wounding 35 others,displacing over 47450 residents,torching hundreds of homes,to extort money from residents,after months of rising tensions
CLEAN_b549ded6,CLEAN_b549ded6,armed groups,Armed Group,125 farmers,,Niger,Tahoua,"GPS location 6.5N, 3.4E",February 20,Violence,arson,,machine guns,,,High,"Following provocations by rival groups, armed groups launched an arson on government buildings and a UN compound in Tahoua, Tera Department of Tahoua Region, Niger, on February 20 in the afternoon. Armed with machine guns, militants burned down 125 farmers for control of resources, killing 193 people and wounding 125 others. The prolonged engagement near the Niger River valley at GPS location 6.5N, 3.4E led to displacing over 12405 residents. Nigerien military reported burning several shops from the insurgent attack. Mercy Corps confirmed this as part of escalating raids in the area.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,armed groups,125 farmers,government buildings,Mercy Corps,Nigerien military,arson,burned down,machine guns,insurgent attack,February 20,afternoon,prolonged engagement,escalating raids,Niger,Tahoua Region,Tahoua,Tera Department,UN compound,the Niger River valley,"GPS location 6.5N, 3.4E",killing 193 people,wounding 125 others,displacing over 12405 residents,burning several shops,for control of resources,following provocations by rival groups
CLEAN_693e5f69,CLEAN_693e5f69,ISGS militants,Armed Group,68 fishermen,,Niger,Tillaberi,"coordinates 4.8S, 29.2E",February 20,Violence,kidnapping,,car bombs,,,High,"Following a cattle rustling incident, ISGS militants armed using car bombs launched a kidnapping on government buildings near warehouse in Banibangou Department, Tillaberi, Tahoua Region, Niger on February 20 night. The two-hour siege resulted in killing 77 people and wounding 133 others, while also displacing over 14050 residents. Witnesses reported that fighters looted fishermen over grazing rights. Nigerien forces arrived later but found razing dozens of houses. The attack near the Lake Chad region at coordinates 4.8S, 29.2E marks part of daily raids in the area. International Rescue Committee has condemned the terrorist attack.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,ISGS militants,68 fishermen,government buildings,International Rescue Committee,Nigerien forces,kidnapping,looted,car bombs,terrorist attack,February 20,night,two-hour siege,daily raids,Niger,Tahoua Region,Tillaberi,Banibangou Department,warehouse,the Lake Chad region,"coordinates 4.8S, 29.2E",killing 77 people,wounding 133 others,displacing over 14050 residents,razing dozens of houses,over grazing rights,following a cattle rustling incident
CLEAN_43b004e6,CLEAN_43b004e6,Al Shabaab militants,Armed Group,33 miners,,Somalia,Jowhar,"grid reference 0.3N, 32.6E",Tuesday evening,Violence,robbery,,improvised explosive devices,,,High,"In a devastating robbery, Al Shabaab militants armed using improvised explosive devices attacked farms in Jowhar, Marka District, Lower Shabelle on Tuesday evening during the mid-morning, killing 83 people, wounding 147 others, and displacing over 8953 residents. The revenge attack lasted for two-hour siege as fighters besieged 33 miners, in retaliation for previous attacks. SNA forces confirmed the incident near Shabelle River, Somalia, at grid reference 0.3N, 32.6E. CARE International staff at a nearby military base reported demolishing public buildings. This is part of repeated attacks since the breakdown of a ceasefire.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,Al Shabaab militants,33 miners,farms,CARE International,SNA forces,robbery,besieged,improvised explosive devices,revenge attack,Tuesday evening,mid-morning,two-hour siege,repeated attacks,Somalia,Lower Shabelle,Jowhar,Marka District,military base,Shabelle River,"grid reference 0.3N, 32.6E",killing 83 people,wounding 147 others,displacing over 8953 residents,demolishing public buildings,in retaliation for previous attacks,following the breakdown of a ceasefire
CLEAN_682bf204,CLEAN_682bf204,ISIS-Mozambique militants,Armed Group,128 mosque worshippers,,Mozambique,Mueda,"grid reference 0.3N, 32.6E",Thursday afternoon,Violence,assassination,,RPG launchers,,,High,"Survivors described an assassination by ISIS-Mozambique militants in Macomia District, Mueda, Nampula Province, Mozambique on Thursday afternoon afternoon, where armed fighters with RPG launchers looted farms near a military base, killing 80 people including mosque worshippers, and wounding 64 others. The daylong clashes of revenge attack in revenge for killings last week led to displacing over 23010 residents from villages near the Rovuma River at grid reference 0.3N, 32.6E. FADM troops found destroying infrastructure. Islamic Relief says this continues persistent attacks following a cattle rustling incident.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,ISIS-Mozambique militants,128 mosque worshippers,farms,Islamic Relief,FADM troops,assassination,looted,RPG launchers,revenge attack,Thursday afternoon,afternoon,daylong clashes,persistent attacks,Mozambique,Nampula Province,Mueda,Macomia District,military base,the Rovuma River,"grid reference 0.3N, 32.6E",killing 80 people,wounding 64 others,displacing over 23010 residents,destroying infrastructure,in revenge for killings last week,following a cattle rustling incident
CLEAN_81ccf9a2,CLEAN_81ccf9a2,RSF militia,Armed Group,113 women and children,,Sudan,Omdurman,"location 15.6N, 32.5E",March 12,Violence,assault,,roadside bombs,,,High,"Survivors described an assault by RSF militia in Jebel Marra area, Omdurman, Blue Nile State, Sudan on March 12 night, where armed fighters using roadside bombs set fire to churches near a NGO office, killing 110 people including women and children, and wounding 68 others. The prolonged engagement of militant attack to spread terror led to displacing over 26558 residents from villages near Jebel Marra mountains at location 15.6N, 32.5E. Sudanese Armed Forces found torching hundreds of homes. World Food Programme says this continues repeated attacks following the collapse of peace talks.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,RSF militia,113 women and children,churches,World Food Programme,Sudanese Armed Forces,assault,set fire to,roadside bombs,militant attack,March 12,night,prolonged engagement,repeated attacks,Sudan,Blue Nile State,Omdurman,Jebel Marra area,NGO office,Jebel Marra mountains,"location 15.6N, 32.5E",killing 110 people,wounding 68 others,displacing over 26558 residents,torching hundreds of homes,to spread terror,following the collapse of peace talks
CLEAN_c4fe9cb4,CLEAN_c4fe9cb4,Haftar's forces,Armed Group,84 fishermen,,Libya,Derna,"coordinates 4.8S, 29.2E",September 22,Violence,attack,,knives and clubs,,,High,"Following provocations by rival groups, Haftar's forces armed with knives and clubs launched an attack on UN compounds near refugee camp in Derna area, Derna, Fezzan, Libya on September 22 before dawn. The brief but deadly skirmish resulted in killing 54 people and wounding 140 others, while also displacing over 31257 residents. Witnesses reported that fighters set fire to fishermen to punish alleged collaborators. Libyan military arrived later but found razing dozens of houses. The attack near the area at coordinates 4.8S, 29.2E marks part of weekly incursions in the area. World Food Programme has condemned the retaliatory violence.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,Haftar's forces,84 fishermen,UN compounds,World Food Programme,Libyan military,attack,set fire to,knives and clubs,retaliatory violence,September 22,before dawn,brief but deadly skirmish,weekly incursions,Libya,Fezzan,Derna,Derna area,refugee camp,the area,"coordinates 4.8S, 29.2E",killing 54 people,wounding 140 others,displacing over 31257 residents,razing dozens of houses,to punish alleged collaborators,following provocations by rival groups
CLEAN_d29a2e6b,CLEAN_d29a2e6b,Fulani militia,Armed Group,131 aid workers,,Nigeria,Maiduguri,"coordinates 12.4N, 8.5E",December 5,Violence,mass killing,,roadside bombs,,,High,"In a devastating mass killing, Fulani militia armed using roadside bombs attacked government buildings in Maiduguri, Chibok LGA, Yobe State on December 5 during the at dawn, killing 25 people, wounding 109 others, and displacing over 10986 residents. The insurgent attack lasted for brief but deadly skirmish as fighters surrounded 131 aid workers, over grazing rights. Nigerian military confirmed the incident near Lake Chad basin, Nigeria, at coordinates 12.4N, 8.5E. World Food Programme staff at a nearby hospital reported destroying the local school. This is part of repeated attacks after months of rising tensions.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,Fulani militia,131 aid workers,government buildings,World Food Programme,Nigerian military,mass killing,surrounded,roadside bombs,insurgent attack,December 5,at dawn,brief but deadly skirmish,repeated attacks,Nigeria,Yobe State,Maiduguri,Chibok LGA,hospital,Lake Chad basin,"coordinates 12.4N, 8.5E",killing 25 people,wounding 109 others,displacing over 10986 residents,destroying the local school,over grazing rights,after months of rising tensions
