Event_ID,Article_ID,Actor_Normalized,Actor_Type,Victim_Normalized,Victim_Type,Location_Country,Location_City,Location_Coordinates,Date_Normalized,Taxonomy_L1,Taxonomy_L2,Taxonomy_L3,Weapon_Category,Deaths,Injuries,Severity,Event_Description,Actor_Confidence,Victim_Confidence,Location_Confidence,Date_Confidence,Classification_Confidence,Flagged_for_Review,Notes,Annotator_Name,PERPETRATOR,VICTIM,TARGET,ORGANIZATION,GOVERNMENT,EVENT_TYPE,ACTION,WEAPON,VIOLENCE_TYPE,DATE,TIME,DURATION,FREQUENCY,COUNTRY,REGION,CITY,DISTRICT,FACILITY,GEOGRAPHIC,COORDINATES,CASUALTIES,INJURED,DISPLACEMENT,DAMAGE,MOTIVE,TRIGGER
SYNTH_V2_00010,SYNTH_V2_00010,M23 rebels,Armed Group,180 displaced persons and locals,,DRC,Jos,"coordinates 4.2N, 18.6E",between 7th and 10th of June,Violence,raid,,machetes and knives,,,High,"UNICEF has reported a devastating raid in DRC where M23 rebels attacked IDP camps in Jos, Jos district, West Darfur on between 7th and 10th of June. The after sunset assault using machetes and knives resulted in 149 people killed, 29 wounded, and displacing over 15,000 residents. The militant violence targeted 180 displaced persons and locals for revenge. Congolese military found destroying over 200 homes near church in the desert area at coordinates 4.2N, 18.6E. This prolonged fighting is part of ongoing violence following the collapse of peace talks.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,M23 rebels,180 displaced persons and locals,IDP camps,UNICEF,Congolese military,raid,attacked,machetes and knives,militant violence,between 7th and 10th of June,after sunset,prolonged fighting,ongoing violence,DRC,West Darfur,Jos,Jos district,church,desert area,"coordinates 4.2N, 18.6E",149 people killed,29 wounded,"displacing over 15,000 residents",destroying over 200 homes,for revenge,following the collapse of peace talks
SYNTH_V2_00011,SYNTH_V2_00011,Boko Haram and Ansaru,Armed Group,38 women,,Kenya,Wau,"coordinates 9.5N, 7.8E","April 12, 2023",Violence,shelling,,machetes and knives,,,High,"After disputed election results, Boko Haram and Ansaru launched a shelling on market areas near health center in Wau, Kaduna State, Kenya on April 12, 2023 in the evening. Armed with machetes and knives, fighters besieged 38 women, leaving 87 people killed and 93 wounded. The daylong engagement of bandit attacks was due to ethnic tensions. Congolese military confirmed razing dozens of houses in the border region at coordinates 9.5N, 7.8E. Save the Children says causing mass displacement as escalating raids continue in Wau district.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Boko Haram and Ansaru,38 women,market areas,Save the Children,Congolese military,shelling,besieged,machetes and knives,bandit attacks,"April 12, 2023",in the evening,daylong engagement,escalating raids,Kenya,Kaduna State,Wau,Wau district,health center,border region,"coordinates 9.5N, 7.8E",87 people killed,93 wounded,causing mass displacement,razing dozens of houses,due to ethnic tensions,after disputed election results
SYNTH_V2_00012,SYNTH_V2_00012,Janjaweed raiders,Armed Group,200 women and children,,Libya,Khartoum-Omdurman,"coordinates 4.2N, 18.6E","February 25th, 2023",Violence,attacks,,assault rifles,,,High,"UNICEF has reported a devastating attacks in Libya where Janjaweed raiders overran police stations in Khartoum-Omdurman, Khartoum-Omdurman district, Adamawa State on February 25th, 2023. The around midnight assault using assault rifles resulted in 131 people killed, 135 wounded, and causing mass displacement. The communal violence targeted 200 women and children over grazing rights. Ugandan military found torching hundreds of structures near health center in the highland region at coordinates 4.2N, 18.6E. This daylong engagement is part of persistent attacks following the breakdown of a ceasefire.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Janjaweed raiders,200 women and children,police stations,UNICEF,Ugandan military,attacks,overran,assault rifles,communal violence,"February 25th, 2023",around midnight,daylong engagement,persistent attacks,Libya,Adamawa State,Khartoum-Omdurman,Khartoum-Omdurman district,health center,highland region,"coordinates 4.2N, 18.6E",131 people killed,135 wounded,causing mass displacement,torching hundreds of structures,over grazing rights,following the breakdown of a ceasefire
SYNTH_V2_00013,SYNTH_V2_00013,LRA fighters,Armed Group,47 soldiers,,Mozambique,Bentiu,"GPS location 6.8S, 39.2E","October 13, 2023",Violence,abduction,,assault rifles,,,High,"Witnesses in Bentiu, West Darfur, Mozambique described how LRA fighters launched a abduction on October 13, 2023 overnight, shelled IDP camps near mosque. Armed with assault rifles, the attackers targeted 47 soldiers due to ethnic tensions, resulting in 42 people killed and 179 wounded. The daylong engagement of retaliatory violence led to forcing 10,000 people to flee from Bentiu district. Ugandan military found torching hundreds of structures in the Sahel belt at GPS location 6.8S, 39.2E. World Food Programme says this is part of repeated attacks following a military offensive.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,LRA fighters,47 soldiers,IDP camps,World Food Programme,Ugandan military,abduction,shelled,assault rifles,retaliatory violence,"October 13, 2023",overnight,daylong engagement,repeated attacks,Mozambique,West Darfur,Bentiu,Bentiu district,mosque,Sahel belt,"GPS location 6.8S, 39.2E",42 people killed,179 wounded,"forcing 10,000 people to flee",torching hundreds of structures,due to ethnic tensions,following a military offensive
SYNTH_V2_00014,SYNTH_V2_00014,Seleka and Anti-Balaka,Armed Group,22 students,,Mozambique,Goma-Bukavu,"coordinates 4.2N, 18.6E",from November 14 to November 16,Violence,bombing,,improvised explosive devices,,,High,"On from November 14 to November 16, Seleka and Anti-Balaka conducted bombing on IDP camps in Oromia Region, Mozambique, near Goma-Bukavu, using improvised explosive devices, resulting in 27 people killed and 186 wounded. The militant violence burned 22 students, over grazing rights. Congolese military responded but found destroying over 200 homes. Save the Children reported the daylong engagement caused displacing thousands of families from the Sahel belt at coordinates 4.2N, 18.6E. The incident occurred at dawn, following the breakdown of a ceasefire. This is part of repeated attacks affecting the market in Goma-Bukavu district.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Seleka and Anti-Balaka,22 students,IDP camps,Save the Children,Congolese military,bombing,burned,improvised explosive devices,militant violence,from November 14 to November 16,at dawn,daylong engagement,repeated attacks,Mozambique,Oromia Region,Goma-Bukavu,Goma-Bukavu district,market,Sahel belt,"coordinates 4.2N, 18.6E",27 people killed,186 wounded,displacing thousands of families,destroying over 200 homes,over grazing rights,following the breakdown of a ceasefire
SYNTH_V2_00015,SYNTH_V2_00015,Janjaweed raiders,Armed Group,200 women and children,,Libya,Bukavu,"coordinates 4.2N, 18.6E","April 5, 2023",Violence,attack,,automatic weapons,,,High,"UNICEF has reported a devastating attack in Libya where Janjaweed raiders killed IDP camps in Bukavu, Bukavu district, Tigray Region on April 5, 2023. The late at night assault using automatic weapons resulted in 36 people killed, 198 wounded, and displacing over 15,000 residents. The communal violence targeted 200 women and children due to ethnic tensions. Congolese military found burning the village market near hospital in the river banks at coordinates 4.2N, 18.6E. This brief skirmish is part of escalating raids after months of tensions.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Janjaweed raiders,200 women and children,IDP camps,UNICEF,Congolese military,attack,killed,automatic weapons,communal violence,"April 5, 2023",late at night,brief skirmish,escalating raids,Libya,Tigray Region,Bukavu,Bukavu district,hospital,river banks,"coordinates 4.2N, 18.6E",36 people killed,198 wounded,"displacing over 15,000 residents",burning the village market,due to ethnic tensions,after months of tensions
SYNTH_V2_00016,SYNTH_V2_00016,Mai-Mai militia,Armed Group,43 traders,,Kenya,Tripoli-Benghazi,"GPS location 6.8S, 39.2E",18th June 2023,Violence,execution,,mortars and artillery,,,High,"Following a military offensive, Mai-Mai militia launched a execution on military positions near church in Tripoli-Benghazi, Borno State, Kenya on 18th June 2023 in the afternoon. Armed with mortars and artillery, fighters abducted 43 traders, leaving 78 people killed and 102 wounded. The prolonged fighting of communal violence was over grazing rights. Ugandan military confirmed torching hundreds of structures in the lake shores at GPS location 6.8S, 39.2E. Oxfam says causing mass displacement as persistent attacks continue in Tripoli-Benghazi district.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Mai-Mai militia,43 traders,military positions,Oxfam,Ugandan military,execution,abducted,mortars and artillery,communal violence,18th June 2023,in the afternoon,prolonged fighting,persistent attacks,Kenya,Borno State,Tripoli-Benghazi,Tripoli-Benghazi district,church,lake shores,"GPS location 6.8S, 39.2E",78 people killed,102 wounded,causing mass displacement,torching hundreds of structures,over grazing rights,following a military offensive
SYNTH_V2_00017,SYNTH_V2_00017,Mai-Mai and ADF,Armed Group,67 residents,,Cameroon,Afgooye,"coordinates 11.3N, 42.1E",27th February 2021,Violence,attack,,assault rifles,,,High,"ICRC has reported a devastating attack in Cameroon where Mai-Mai and ADF besieged three villages in Afgooye, Afgooye district, Borno State on 27th February 2021. The at dawn assault using assault rifles resulted in 57 people killed, 33 wounded, and causing mass displacement. The ethnic violence targeted 67 residents for control of territory. Congolese military found torching hundreds of structures near church in the desert area at coordinates 11.3N, 42.1E. This three-hour assault is part of persistent attacks after months of tensions.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Mai-Mai and ADF,67 residents,three villages,ICRC,Congolese military,attack,besieged,assault rifles,ethnic violence,27th February 2021,at dawn,three-hour assault,persistent attacks,Cameroon,Borno State,Afgooye,Afgooye district,church,desert area,"coordinates 11.3N, 42.1E",57 people killed,33 wounded,causing mass displacement,torching hundreds of structures,for control of territory,after months of tensions
SYNTH_V2_00018,SYNTH_V2_00018,armed bandits,Armed Group,150 farmers and herders,,Cameroon,El Fasher-Nyala,"coordinates 4.2N, 18.6E","February 19th, 2020",Violence,raids,,improvised explosive devices,,,High,"On February 19th, 2020, armed bandits conducted raids on churches in Yobe State, Cameroon, near El Fasher-Nyala, using improvised explosive devices, resulting in 64 people killed and 87 wounded. The bandit attacks executed 150 farmers and herders, due to ethnic tensions. Cameroonian soldiers responded but found destroying over 200 homes. World Food Programme reported the two-hour siege caused displacing over 15,000 residents from the desert area at coordinates 4.2N, 18.6E. The incident occurred before sunrise, following a military offensive. This is part of persistent attacks affecting the market in El Fasher-Nyala district.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,armed bandits,150 farmers and herders,churches,World Food Programme,Cameroonian soldiers,raids,executed,improvised explosive devices,bandit attacks,"February 19th, 2020",before sunrise,two-hour siege,persistent attacks,Cameroon,Yobe State,El Fasher-Nyala,El Fasher-Nyala district,market,desert area,"coordinates 4.2N, 18.6E",64 people killed,87 wounded,"displacing over 15,000 residents",destroying over 200 homes,due to ethnic tensions,following a military offensive
SYNTH_V2_00019,SYNTH_V2_00019,M23 and ADF,Armed Group,25 civilians,,Cameroon,Beni,"coordinates 4.2N, 18.6E",from August 23 to August 28,Violence,raids,,hand grenades,,,High,"Witnesses in Beni, Amhara Region, Cameroon described how M23 and ADF launched a raids on from August 23 to August 28 in the evening, bombarded residential areas near hospital. Armed with hand grenades, the attackers targeted 25 civilians for control of territory, resulting in 88 people killed and 172 wounded. The prolonged fighting of insurgent attack led to displacing over 15,000 residents from Beni district. Malian Armed Forces found destroying over 200 homes in the highland region at coordinates 4.2N, 18.6E. World Food Programme says this is part of daily raids after disputed election results.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,M23 and ADF,25 civilians,residential areas,World Food Programme,Malian Armed Forces,raids,bombarded,hand grenades,insurgent attack,from August 23 to August 28,in the evening,prolonged fighting,daily raids,Cameroon,Amhara Region,Beni,Beni district,hospital,highland region,"coordinates 4.2N, 18.6E",88 people killed,172 wounded,"displacing over 15,000 residents",destroying over 200 homes,for control of territory,after disputed election results
SYNTH_V2_00020,SYNTH_V2_00020,JNIM and ISGS,Armed Group,150 farmers and herders,,Somalia,Nyala,"GPS location 6.8S, 39.2E",14th June 2023,Violence,ambush,,machine guns,,,High,"Save the Children has reported a devastating ambush in Somalia where JNIM and ISGS besieged several communities in Nyala, Nyala district, Cabo Delgado Province on 14th June 2023. The before sunrise assault using machine guns resulted in 23 people killed, 72 wounded, and causing mass displacement. The militant violence targeted 150 farmers and herders over land disputes. Cameroonian soldiers found razing dozens of houses near primary school in the highland region at GPS location 6.8S, 39.2E. This daylong engagement is part of repeated attacks following the breakdown of a ceasefire.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,JNIM and ISGS,150 farmers and herders,several communities,Save the Children,Cameroonian soldiers,ambush,besieged,machine guns,militant violence,14th June 2023,before sunrise,daylong engagement,repeated attacks,Somalia,Cabo Delgado Province,Nyala,Nyala district,primary school,highland region,"GPS location 6.8S, 39.2E",23 people killed,72 wounded,causing mass displacement,razing dozens of houses,over land disputes,following the breakdown of a ceasefire
SYNTH_V2_00021,SYNTH_V2_00021,OLA rebels,Armed Group,38 women,,Nigeria,Bentiu,"GPS location 6.8S, 39.2E","January 21st, 2024",Violence,attacks,,machine guns,,,High,"After months of tensions, OLA rebels launched a attacks on police stations near IDP camp in Bentiu, West Darfur, Nigeria on January 21st, 2024 after sunset. Armed with machine guns, fighters overran 38 women, leaving 47 people killed and 118 wounded. The prolonged fighting of communal violence was due to ethnic tensions. Ethiopian military confirmed torching hundreds of structures in the Sahel belt at GPS location 6.8S, 39.2E. Doctors Without Borders says forcing 10,000 people to flee as weekly incursions continue in Bentiu district.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,OLA rebels,38 women,police stations,Doctors Without Borders,Ethiopian military,attacks,overran,machine guns,communal violence,"January 21st, 2024",after sunset,prolonged fighting,weekly incursions,Nigeria,West Darfur,Bentiu,Bentiu district,IDP camp,Sahel belt,"GPS location 6.8S, 39.2E",47 people killed,118 wounded,"forcing 10,000 people to flee",torching hundreds of structures,due to ethnic tensions,after months of tensions
SYNTH_V2_00022,SYNTH_V2_00022,Janjaweed raiders,Armed Group,43 traders,,Libya,Maiduguri,"GPS location 6.8S, 39.2E",from August 21 to August 24,Violence,shelling,,RPG launchers,,,High,"Oxfam has reported a devastating shelling in Libya where Janjaweed raiders stormed police stations in Maiduguri, Maiduguri district, Amhara Region on from August 21 to August 24. The before sunrise assault using RPG launchers resulted in 101 people killed, 167 wounded, and forcing 10,000 people to flee. The communal violence targeted 43 traders due to ethnic tensions. Congolese military found destroying over 200 homes near market in the Sahel belt at GPS location 6.8S, 39.2E. This two-hour siege is part of daily raids after months of tensions.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Janjaweed raiders,43 traders,police stations,Oxfam,Congolese military,shelling,stormed,RPG launchers,communal violence,from August 21 to August 24,before sunrise,two-hour siege,daily raids,Libya,Amhara Region,Maiduguri,Maiduguri district,market,Sahel belt,"GPS location 6.8S, 39.2E",101 people killed,167 wounded,"forcing 10,000 people to flee",destroying over 200 homes,due to ethnic tensions,after months of tensions
